nom;Ligue
Angel Di Maria;Ligue 1
Adrien Hunou;Ligue 1
Adrien Thomasson;Ligue 1
Aduriz;La Liga
Alassane Plea;Bundesliga
Alejandro Gomez;Serie A
Mohamed Salah;Premier League
Alexis Sanchez;Premier League
Alfred Finnbogason;Bundesliga
Andre Silva;Bundesliga
Andrea Belotti;Serie A
Andrea Petagna;Serie A
Andreas Cornelius;Serie A
Andrej Kramaric;Bundesliga
Andy Delort;Ligue 1
Angel Rodriguez;La Liga
Ante Budimir;La Liga
Ante Rebic;Bundesliga
Ante Rebic;Serie A
Anthony Martial;Premier League
Anthony Modeste;Bundesliga
Antoine Griezmann;La Liga
Arjen Robben;Bundesliga
Arkadiusz Milik;Serie A
Pierre-Emerick Aubameyang;Premier League
Sadio Mane;Premier League
Benito Raman;Bundesliga
Borja Iglesias;La Liga
Burak Yilmaz;Ligue 1
Sergio Aguero;Premier League
Carlos Bacca;Serie A
Carlos Bacca;La Liga
Carlos Fernandez;La Liga
Cedric Bakambu;La Liga
Chicharito;Bundesliga
Chimy Avila;La Liga
Chris Wood;Premier League
Christian Benteke;Premier League
Ciro Immobile;Serie A
Cristhian Stuani;La Liga
Cristiano Ronaldo;La Liga
Cristiano Ronaldo;Serie A
Cyril Thereau;Serie A
Daniel Didavi;Bundesliga
Danny Ings;Premier League
Dario Benedetto;Ligue 1
Davie Selke;Bundesliga
Dele Alli;Premier League
Denis Bouanga;Ligue 1
Diego Costa;Premier League
Diego Falcinelli;Serie A
Dimitri Payet;Ligue 1
Domenico Berardi;Serie A
Dominic Calvert-Lewin;Premier League
Dries Mertens;Serie A
Duvan Zapata;Serie A
Eden Hazard;Premier League
Jamie Vardy;Premier League
Edin Dzeko;Serie A
Edinson Cavani;Ligue 1
Emil Forsberg;Bundesliga
Emiliano Sala;Ligue 1
Erling Haaland;Bundesliga
Fabio Quagliarella;Serie A
Falcao;Ligue 1
Fernando Llorente;Premier League
Fin Bartels;Bundesliga
Florian Niederlechner;Bundesliga
Florian Thauvin;Ligue 1
Florin Andone;La Liga
Francesco Caputo;Serie A
Francois Kamano;Ligue 1
Gabriel Jesus;Premier League
Gael Kakuta;Ligue 1
Gaetan Laborde;Ligue 1
Gareth Bale;La Liga
Gerard Moreno;La Liga
Gervinho;Serie A
Gianluca Lapadula;Serie A
Giovanni Simeone;Serie A
Harry Kane;Premier League
Gonzalo Higuain;Serie A
Gregoire Defrel;Serie A
Guido Burgstaller;Bundesliga
Raheem Sterling;Premier League
Habib Diallo;Ligue 1
Iago Aspas;La Liga
Iago Falque;Serie A
Inaki Williams;La Liga
Isco;La Liga
Ishak Belfodil;Bundesliga
Islam Slimani;Ligue 1
Ivan Perisic;Serie A
Jadon Sancho;Bundesliga
Jaime Mata;La Liga
James Ward-Prowse;Premier League
Alexandre Lacazette;Premier League
Jarrod Bowen;Premier League
Jean-Kevin Augustin;Bundesliga
Jean-Philippe Mateta;Bundesliga
Jermain Defoe;Premier League
Jhon Cordoba;Bundesliga
Joao Pedro;Serie A
Jonathan Bamba;Ligue 1
Jorge Molina;La Liga
Jose CallejOn;Serie A
Joselu;La Liga
Joshua King;Premier League
Callum Wilson;Premier League
Josip Ilicic;Serie A
Juanmi Callejon;La Liga
Julian Brandt;Bundesliga
Kai Havertz;Bundesliga
Karim Benzema;La Liga
Kasper Dolberg;Ligue 1
Keita Balde;Serie A
Kevin De Bruyne;Premier League
Kevin Gameiro;La Liga
Kevin Lasagna;Serie A
Kevin Volland;Bundesliga
Krzysztof Piatek;Serie A
Kylian Mbappe-Lottin;Ligue 1
Lars Stindl;Bundesliga
Lautaro Martrinez;Serie A
Lebo Mothiba;Ligue 1
Leon Bailey;Bundesliga
Leonardo Pavoletti;Serie A
Lionel Messi;La Liga
Loren Moron;La Liga
Lorenzo Insigne;Serie A
Lucas Ocampos;La Liga
Lucas Perez;La Liga
Ludovic Ajorque;Ligue 1
Ludovic Blas;Ligue 1
Luis Alberto;Serie A
Luis Muriel;Serie A
Luis Suarez;La Liga
Luka Jovic;Bundesliga
Richarlison;Premier League
Marco Borriello;Serie A
Marco Mancosu;Serie A
Marco Reus;Bundesliga
Marcus Rashford;Premier League
Marcus Thuram;Bundesliga
Mario Gomez;Bundesliga
Mario Mandzukic ;Serie A
Mark Uth;Bundesliga
Mauro Icardi;Serie A
Mauro Icardi;Ligue 1
Max Gradel;Ligue 1
Max Kruse;Bundesliga
Maxi Gomez;La Liga
Maximilian Philipp;Bundesliga
M'Baye Niang;Ligue 1
Memphis Depay;Ligue 1
Michael Gregoritsch;Bundesliga
Michail Antonio;Premier League
Mikel Oyarzabal;La Liga
Mirco Antenucci;Serie A
Mohamed Salah;Serie A
Glenn Murray;Premier League
Morales;La Liga
Morata;La Liga
Moussa Dembele;Ligue 1
Munir;La Liga
Neymar;La Liga
Neymar;Ligue 1
Niclas Fullkrug;Bundesliga
Nicolas Pepe;Ligue 1
Nikola Kalinic;Serie A
Nils Petersen;Bundesliga
Olivier Giroud;Premier League
Ondrej Duda;Bundesliga
Pablo Sarabia;La Liga
Paco Alcacer;Bundesliga
Patrick Bamford;Premier League
Gylfi Sigurdsson;Premier League
Paulo Dybala;Serie A
Pedro ;Premier League
Philippe Coutinho;Premier League
Pierre-Emerick Aubameyang;Bundesliga
Paul Pogba;Premier League
Portu;La Liga
Raul Jimenez;Premier League
Raul de Tomas;La Liga
Raul Garcla;La Liga
Ashley Barnes;Premier League
Remi Oudin;Ligue 1
Ayoze Perez;Premier League
Riyad Mahrez;Premier League
Robert Lewandowski;Bundesliga
Roberto Firmino;Premier League
Roberto Inglese;Serie A
Robin Quaison;Bundesliga
Rodrigo;La Liga
Roger;La Liga
Romelu Lukaku;Premier League
Romelu Lukaku;Serie A
Rouwen Hennings;Bundesliga
Ruben Castro;La Liga
Salomon Kalou;Bundesliga
Sandro Ramlrez;La Liga
Sandro Wagner;Bundesliga
Santi Cazorla;La Liga
Santi Mina;La Liga
Sebastian Andersson;Bundesliga
Sebastien Haller;Bundesliga
Sehrou Guirassy;Ligue 1
Serge Gnabry;Bundesliga
Sergej Milinkovic-Savic;Serie A
Sergi Enrich;La Liga
Luka Milivojevic;Premier League
Sergio Leon;La Liga
Sergio Ramos;La Liga
Simone Zaza;La Liga
Son Heung-Min;Premier League
Stephan El Shaarawy;Serie A
Stephane Bahoken;Ligue 1
Tammy Abraham;Premier League
Teemu Pukki;Premier League
Thorgan Hazard;Bundesliga
Timo Werner;Bundesliga
Timo Werner;Premier League
Vedad Ibisevic;Bundesliga
Victor Osimhen;Ligue 1
Wahbi Khazri;Ligue 1
Willian Josa;La Liga
Willian Jose;La Liga
Wissam Ben Yedder;La Liga
Wissam Ben Yedder;Ligue 1
Wout Weghorst;Bundesliga
Yussuf Poulsen;Bundesliga
Zlatan Ibrahimovic;Premier League
