Ligue;Club;nom
Ligue 1;(REN);Adrien Hunou
Ligue 1;(STR);Adrien Thomasson
La Liga;(BIL);Aduriz
Bundesliga;(BMG);Alassane Plea
Serie A;(ATA);Alejandro Gomez
Premier League;(ARS);Alexandre Lacazette
Premier League;(INT);Alexis Sanchez
Bundesliga;(FCA);Alfred Finnbogason
Bundesliga;(FRA);Andre Silva
Serie A;(TOR);Andrea Belotti
Serie A;(NAP);Andrea Petagna
Serie A;(PAR);Andreas Cornelius
Bundesliga;(HOF);Andrej Kramaric
Ligue 1;(MPE);Andy Delort
Ligue 1;(PSG);Angel Di Maria
La Liga;(GET);Angel Rodriguez
La Liga;(OSA);Ante Budimir
Bundesliga;(ACM);Ante Rebic
Premier League;(MNU);Anthony Martial
Bundesliga;(KOL);Anthony Modeste
La Liga;(BAR);Antoine Griezmann
Bundesliga;(GRO);Arjen Robben
Serie A;(NAP);Arkadiusz Milik
Premier League;(BUR);Ashley Barnes
Premier League;(LEI);Ayoze Perez
Bundesliga;(SCH);Benito Raman
La Liga;(BET);Borja Iglesias
Ligue 1;(LIL);Burak Yilmaz
Ligue 1;(PSG);ǁngel Di Maria
Premier League;(NEW);Callum Wilson
Serie A;(VIL);Carlos Bacca
La Liga;(SEV);Carlos Fernandez
La Liga;(SOC);Cedric Bakambu
Bundesliga;(LAG);Chicharito
La Liga;(OSA);Chimy Avila
Premier League;(BUR);Chris Wood
Premier League;(CRY);Christian Benteke
Serie A;(LAZ);Ciro Immobile
La Liga;(GIR);Cristhian Stuani
La Liga;(JUV);Cristiano Ronaldo
Serie A;(CAL);Cyril Thereau
Bundesliga;(VfB);Daniel Didavi
Premier League;(SOU);Danny Ings
Ligue 1;(MAR);Dario Benedetto
Bundesliga;(SVW);Davie Selke
Premier League;(TOT);Dele Alli
Ligue 1;(STE);Denis Bouanga
Premier League;(ATL);Diego Costa
Serie A;(CRZ);Diego Falcinelli
Ligue 1;(MAR);Dimitri Payet
Serie A;(SAS);Domenico Berardi
Premier League;(EVE);Dominic Calvert-Lewin
Serie A;(NAP);Dries Mertens
Serie A;(ATA);Duvan Zapata
Premier League;(RMA);Eden Hazard
Serie A;(ROM);Edin Dzeko
Ligue 1;(MNU);Edinson Cavani
Bundesliga;(RBL);Emil Forsberg
Ligue 1;(CAE);Emiliano Sala
Bundesliga;(DOR);Erling Haaland
Serie A;(SAM);Fabio Quagliarella
Ligue 1;(GAL);Falcao
Premier League;(NAP);Fernando Llorente
Bundesliga;(HKI);Fin Bartels
Bundesliga;(FCA);Florian Niederlechner
Ligue 1;(MAR);Florian Thauvin
La Liga;(DEP);Florin Andone
Serie A;(SAS);Francesco Caputo
Ligue 1;(LOK);Francois Kamano
Premier League;(MNC);Gabriel Jesus
Ligue 1;(LEN);Gael Kakuta
Ligue 1;(MPE);Gaetan Laborde
La Liga;(TOT);Gareth Bale
La Liga;(VIL);Gerard Moreno
Serie A;(PAR);Gervinho
Serie A;(BEN);Gianluca Lapadula
Serie A;(CAG);Giovanni Simeone
Premier League;(WAT);Glenn Murray
Serie A;(IMI);Gonzalo Higuain
Serie A;(SAS);Gregoire Defrel
Bundesliga;(STP);Guido Burgstaller
Premier League;(EVE);Gylfi Sigurdsson
Ligue 1;(STR);Habib Diallo
Premier League;(TOT);Harry Kane
La Liga;(CEL);Iago Aspas
Serie A;(BEN);Iago Falque
La Liga;(BIL);Inaki Williams
