Column1;Column2;Column3
NomPrenom;Ligue;LienImage
Angel Di Maria;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRh2v8vtKjkWwGnGaU7HMDg_KV0CRDPHm33hiiEjKge3aqqyb_nEBHM-y0HB1k&s
Adrien Hunou;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWm1z9OaeuoHnBbc9TfJ0KWdjNYOtBHeAWI4UfRQvz57dD7alMTNxtMVzkAg&s
Adrien Thomasson;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiLjzovBAAX5FXw5V2uwV-GAq869j8945o0dBrvFlcXudlHMA1a3aK3f9abA&s
Aduriz;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxpUOgUDH3YTUeYNk7-B1jv96pVZB3xQU85tDox2E7bA4o0wmvWvzcj_pBa-Q&s
Alassane Plea;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZRt6Pu03pIqX4qeG-1_3rLJOfI4-SJQjfU_ciuIGIELOWiZEb_nO5cOmSRA&s
Alejandro Gomez;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD63D099NoCY_waehpSesFDyggWsTaCmw5NxSJkiruJ-9LYpMSm8Go0Xm8olo&s
Mohamed Salah;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdP7vEr705crCmstLfTt6ZhcbltCH0M0wCEwmHbFMUZa8O0MBo95yhBNvGRw&s
Alexis Sanchez;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ-VHVwdhMY4RzBTbal5IGOds0Qmri1pulxShgJxcF__7q97TgnOoqho1Lgro&s
Alfred Finnbogason;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShZR8XypCT-eoc_D3c2mPRJWILjgtvzKCpX3Mk_6pFnraliAG3MkXQSj0uAQ&s
Andre Silva;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-xqZ6hqSe5SpTuLA8F57RZTf2ec7qZfcdXmiCUI0D3TkxqI44iqooD3QS77Q&s
Andrea Belotti;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS02tWOrYnYfJTmhzz09SvsP7elwJSznpDuIGFZBwAZn-f7_VmpOihjAK5aFLc&s
Andrea Petagna;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnSstg7jA6A_IOXSemIQYub-fbe6sa9cjOryZhRxV3Zy8e7B2Q3hFn1yuhFw&s
Andreas Cornelius;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjuR9DCpD48QzTcRrgo8tlAW5Mql836x7JD-UeP0-3cWMFYHLY-47LaEC8nA&s
Andrej Kramaric;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUE6cxiVT7xef0no7zTV_Yvp7hIEgBxFjx-TNWy9lTiIQQDR3ugqNyo6sBCw&s
