nom;id_club;id_ligue
(ACM);1;2
(ALA);2;4
(ANG);3;5
(ARS);4;1
(ATA);5;3
(ATL);6;1
(BAR);7;4
(BAY);8;2
(BEN);9;3
(BET);10;4
(BIL);11;4
(BMG);12;2
(BOR);13;5
(BOT);14;2
(BOU);15;1
(BSC);16;2
(BUR);17;1
(CAE);18;5
(CAG);19;3
(CAR);20;4
(CEL);21;4
(CHE);22;2
(CRY);23;1
(CRZ);24;3
(DOR);25;2
(DUS);26;2
(EIB);27;4
(ESP);28;4
(EVE);29;1
(FCA);30;2
(FIO);31;3
(FRA);32;2
(GAL);33;5
(GET);34;4
(GIR);35;4
(GRA);36;4
(GRO);37;2
(HKI);38;2
(HOF);39;2
(HUE);40;4
(IMI);41;3
(INT);42;1
(JUV);43;4
(KOL);44;2
(LAG);45;2
(LAZ);46;3
(LEC);47;3
(LEE);48;1
(LEI);49;1
(LEN);50;5
(LEV);51;2
(LIL);52;5
(LIV);53;3
(LOK);54;5
(LYO);55;5
(MAI);56;2
(MAR);57;5
(MNC);58;1
(MNU);59;1
(MON);60;2
(MPE);61;5
(NAN);62;2
(NAP);63;3
(NEW);64;1
(NIC);65;5
(NOR);66;1
(OSA);67;4
(PAR);68;3
(PSG);69;5
(RAN);70;1
(RBL);71;2
(REN);72;5
(CAL);73;3
(RMA);74;1
(ROM);75;3
(DEP);76;4
(SAM);77;3
(SAS);78;3
(SCF);79;2
(SCH);80;2
(SEV);81;4
(SIV);82;5
(SOC);83;4
(SOU);84;1
(STE);85;5
(STP);86;2
(STR);87;5
(SVW);88;2
(TOR);89;3
(TOT);90;1
(UDI);91;3
(UNB);92;2
(VAL);93;4
(VER);94;3
(VfB);95;2
(VIL);96;3
(WAT);97;1
(WHU);98;1
(WOB);99;2
(WOL);100;1
