1;Adrien Hunou;35;NULL;NULL;NULL;72;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZbzyUL54qID_kG9Qr99lkTWWsnO2Gcq1b59kMIEvu5NY92XuNDI8P1fOLTA&s
2;Adrien Thomasson;28;NULL;NULL;NULL;85;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT42YbLEVrSQHptuPKDFy_4cqmb_eetFnKFPHfoXQkPnJVhrVfKwIsxzSpzKII&s
3;Aduriz;28;11;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxpUOgUDH3YTUeYNk7-B1jv96pVZB3xQU85tDox2E7bA4o0wmvWvzcj_pBa-Q&s
4;Alassane Plea;23;NULL;NULL;12;12;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyeXDocClU4kLl779enz1O1tdKwEqmN-C7tGNHJgAUUGApyaPFrfJSpEwTMg&s
5;Alejandro Gomez;28;5;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScxH2gKoz7QTUUa5Eir0YjcltWvlHS3Ol0FJosNlVdDYx3hcHMGUZDjT0H8g&s
6;Alexandre Lacazette;25;NULL;NULL;4;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSc0Faa0GkWFfvy1YlpJY7F2X9G_W0iIGcsBFm6oQfz5NoNjT2gMf2mJemMZQ&s
7;Alexis Sanchez;32;42;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRggFMCbRw6GZJl914c0crIYkNp0t5UJwfefqx7bsGnJSEDfNZdmwBXi-sDVw&s
8;Alfred Finnbogason;30;NULL;30;30;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB3e8aes8MwEQSn30wT7JbVZfu_EPBLE-lGL0-ezM35ZR_kwPXJ628ocOW8w&s
9;Andre Silva;28;NULL;NULL;NULL;32;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSilSDtdhEAg-KgBuF0Wjse6t36dPNJftmzHjKUVQ4gPW1eifZWLCoA7xvn1w&s
10;Andrea Belotti;26;87;87;87;87;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiDK1lVUDtB7dJlo5H0ios0IjJ9WMHL7GhW58dAyWkNEuPTLk07Q6RjkdSZQ&s
11;Andrea Petagna;20;NULL;NULL;63;63;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5pRN_Du-US2ChOg4agSeUJpJpiyT1PND3nI3EddUoWlOPI3ybWNlJOktO9A&s
12;Andreas Cornelius;26;NULL;NULL;NULL;68;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjuR9DCpD48QzTcRrgo8tlAW5Mql836x7JD-UeP0-3cWMFYHLY-47LaEC8nA&s
13;Andrej Kramaric;29;39;39;39;39;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUE6cxiVT7xef0no7zTV_Yvp7hIEgBxFjx-TNWy9lTiIQQDR3ugqNyo6sBCw&s
14;Andy Delort;33;NULL;NULL;61;61;61;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrMeIaxa8WT-NpsNQpqVx989WKrdbnx5WrknjzxAho3iVOFY-uZGjAJuKIZg&s
15;Angel Di Maria;26;NULL;NULL;69;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi5MDKtuw_e241RuOHyRnzrZyn4EdFj9Griv6BJDS6p8PZ9mp92pTfu3-Xw7g&s
16;Angel Rodriguez;24;NULL;34;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNLCM0JGoFddpFZwe28l94UG209SY-BvkeIT1rAdyZqqivwiyS12-LbigPug&s
17;Ante Budimir;21;NULL;NULL;NULL;67;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCeXdLyUbVAa1bb2u4IV5XTGxik-TxWM_0R9UNP_81vtt545_1lmBz7JcB6xw&s
18;Ante Rebic;29;NULL;NULL;1;1;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI8PpHZfUOft87MzWdehcsdJgCbrS5DNRrzHyC4ifoZX8zd6rkxOWBJrPtjQ&s
19;Anthony Martial;27;NULL;NULL;NULL;59;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVcS2qVmDuO5EaQYsqyJPl5YctpZE1fwgAGwus2xnbcanN69R-U35wFPKFfA&s
20;Anthony Modeste;23;44;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgRT7oi5U7NVI9x9a5-TVa5_R66dknbmBGvqDcm-fFtbeIDp5EdAUU7gOLVA&s
