id_stats;match_played;Goals;ration b/m;id_stats_joueurs;year;Shots;OnTarget;Minutes*;id_ligue
1;27;16;0.592592593;15;2019;74;24;2106;5
2;37;16;0.432432432;1;2019;28;15;1325;5
3;36;24;0.666666667;2;2019;50;18;2168;5
4;34;26;0.764705882;3;2016;85;45;2480;4
5;28;15;0.535714286;4;2018;83;41;2613;2
6;34;25;0.735294118;4;2019;77;35;2252;2
7;36;16;0.444444444;5;2016;117;75;3247;3
8;21;13;0.619047619;6;2018;81;28;2670;1
9;26;13;0.5;7;2016;129;49;3385;1
10;17;10;0.588235294;8;2017;51;25;1879;2
11;20;11;0.55;8;2018;40;18;1385;2
12;36;15;0.416666667;9;2019;55;21;1694;2
13;35;22;0.628571429;10;2016;130;78;3241;3
14;29;25;0.862068966;10;2017;86;28;2854;3
15;31;12;0.387096774;10;2018;125;47;3533;3
16;35;18;0.514285714;10;2019;104;41;3214;3
17;35;20;0.571428571;11;2018;89;41;3196;3
18;35;13;0.371428571;11;2019;110;33;3263;3
19;28;28;1;12;2019;46;20;1637;3
20;36;16;0.444444444;13;2016;99;60;2449;2
21;33;29;0.878787879;13;2017;83;35;2353;2
22;27;8;0.296296296;13;2018;110;43;2527;2
23;35;12;0.342857143;13;2019;43;23;1502;2
24;28;15;0.535714286;14;2018;119;36;3263;5
25;23;8;0.347826087;14;2019;84;29;2409;5
26;29;11;0.379310345;14;2020;31;14;902;5
27;32;12;0.375;15;2018;97;30;2418;5
28;37;13;0.351351351;16;2017;68;31;2390;4
29;29;12;0.413793103;17;2019;56;22;2923;4
30;32;24;0.75;18;2018;61;28;2075;2
31;23;12;0.52173913;18;2019;42;20;1514;3
32;17;9;0.529411765;19;2019;80;39;2788;1
33;29;29;1;20;2016;101;53;3075;2
34;25;19;0.76;21;2016;88;41;3129;4
35;31;12;0.387096774;21;2017;72;40;2596;4
36;18;10;0.555555556;21;2018;113;45;3349;4
37;33;13;0.393939394;22;2016;83;52;1882;2
38;37;15;0.405405405;23;2018;111;51;2560;3
39;37;14;0.378378378;23;2019;68;29;1870;3
40;31;16;0.516129032;24;2018;65;30;2569;1
41;19;11;0.578947368;25;2018;55;27;3099;1
42;23;11;0.47826087;26;2018;55;26;1781;2
43;21;16;0.761904762;27;2018;90;38;3246;4
44;21;13;0.619047619;28;2020;28;17;903;5
45;29;11;0.379310345;29;2018;65;29;2714;1
46;32;37;1.15625;30;2016;56;39;2228;3
47;35;18;0.514285714;30;2017;73;34;2572;4
48;34;28;0.823529412;31;2019;47;19;2428;4
49;30;16;0.533333333;32;2016;50;26;1633;4
50;32;16;0.5;33;2016;52;30;1895;2
51;34;24;0.705882353;34;2018;88;24;2131;4
52;23;15;0.652173913;35;2019;65;29;2616;1
53;23;9;0.391304348;36;2016;105;38;3299;1
54;29;11;0.379310345;37;2016;136;98;3294;3
55;29;15;0.517241379;37;2017;110;53;2799;3
56;14;15;1.071428571;37;2018;124;49;3046;3
57;30;13;0.433333333;37;2019;142;71;3371;3
58;26;15;0.576923077;38;2017;74;37;2785;4
59;11;12;1.090909091;38;2018;77;39;2897;4
60;26;10;0.384615385;39;2016;162;60;2634;4
61;28;13;0.464285714;39;2017;178;76;2375;4
62;31;31;1;39;2018;177;68;2857;3
63;31;30;0.967741935;39;2019;208;79;3127;3
64;34;11;0.323529412;40;2016;70;48;2585;3
65;36;25;0.694444444;41;2017;55;19;2312;2
66;32;13;0.40625;42;2019;93;37;3009;1
67;26;13;0.5;43;2019;61;27;2214;5
68;28;14;0.5;44;2017;47;22;1974;2
69;30;11;0.366666667;45;2016;95;43;3182;1
70;23;11;0.47826087;46;2019;78;37;2173;5
71;31;11;0.35483871;47;2016;111;41;3232;1
72;25;21;0.84;48;2016;99;65;3308;3
73;23;14;0.608695652;49;2019;63;26;2057;5
74;28;21;0.75;50;2019;120;46;2654;3
75;32;12;0.375;51;2019;85;38;2849;1
76;27;12;0.444444444;51;2020;32;18;940;1
77;20;11;0.55;52;2016;148;102;2671;3
78;27;17;0.62962963;52;2017;128;47;3133;3
79;22;12;0.545454545;52;2018;89;39;2416;3
80;29;10;0.344827586;53;2017;57;22;2229;3
81;22;13;0.590909091;53;2018;118;50;3064;3
82;26;13;0.5;53;2019;89;37;2143;3
83;30;19;0.633333333;54;2016;77;32;3101;1
84;30;15;0.5;54;2018;93;43;3115;1
85;33;29;0.878787879;55;2016;178;99;3194;3
